brand_id;brand_name
5355590;MAC AUDIO
5355591;MACALLY
5355592;MAESTRO
5355593;MAG
5355594;MAGIMIX
5355595;MAGIX
5355596;MAGNAT
5355597;MAGNAVOX
5355598;MAKEL
5355599;MAKITA
5355600;MANCHO
5355601;MANDRIVA
5355602;MANFROTTO
5355603;MANHATTAN
5355604;MARANTZ
5355605;MARQUANT
5355606;MARSHALL
5355607;MART
5355608;MASSIVE
5355609;MASTER-TAPE
5355610;MATRIX
5355611;MATSUI
5355612;MAXELL
5355613;MAXIMUM
5355614;MAXWELL
5355615;MAXXTRO
5355616;MB QUART
5355617;MCA
5355618;MD
5355619;MEDIA
5355620;MEDIAHOUSE
5355621;MEDIANA
5355622;MEDION
5355623;MEDISANA
5355624;MEELOPHONE
5355625;MEGAFON
5355626;MEGAVOX
5355627;MEGUNA
5355628;MELICONI
5355629;MELITTA
5355630;MELKCO
5355631;MEMOREX
5355632;MENALUX
5355633;MERCURY
5355634;MERRYLOCK
5355635;META
5355636;METRO3D
5355637;MGE
5355638;MICROJET
5355639;MICROLAB
5355640;MICROSOFT
5355641;MICROSONIC
5355642;MICROTEK
5355643;MIDLAND
5355644;MIDWAY
5355645;MIELE
5355646;MIFI
5355647;MILI
5355648;MILLENIUM
5355649;MILLI
5355650;MILVIS
5355651;MINCO
5355652;MINOLTA
5355653;MIO
5355654;MIREX
5355655;MISSION
5355656;MISTERIYA ZVUKA
5355657;MITAC
5355658;MITSUBISHI
5355659;MITSUMI
5355660;MIXBERRY
5355661;MOBIL GUARD
5355662;MOLVENO
5355663;MONGOOSE
5355664;MONOLIT
5355665;MONSTER
5355666;MONTBLAN
5355667;MOON
5355668;MOON RECORDS
5355669;MORA
5355670;MORDAUND-SHORT
5355671;MORDAUNT-SHORT
5355672;MOROZ RECORDS
5355673;MORPHY RICHARDS
5355674;MOSER
5355675;MOSER BAER
5355676;MOTIV
5355677;MOTOROLA
5355678;MOULINEX
5355679;MOVAVI
5355680;MPIO
5355681;MR.BOOK
5355682;MSI
5355683;MTS
5355684;MTX
5355685;MUSICAL FIDELITY
5355686;MUSIK TRADE
5355687;MUSTEK
5355688;MY GUIDE
5355689;MYLOCK
5355690;MYSTERY
5355691;NAD
5355692;NAKAMICHI
5355693;NARDI
5355694;NASH
5355695;NAVIANGEL
5355696;NAYAD
5355697;NCP
5355698;NDS
5355699;NEC
5355700;NEFF
5355701;NEO
5355702;NEO DRIVE
5355703;NEO STYLE
5355704;NEOCLIMA
5355705;NERI KARRA
5355706;NERO
5355707;NESCAFE
5355708;NETGEAR
5355709;NETT
5355710;NEVA
5355711;NEWTONE
5355712;NEXX
5355713;NG
5355714;NIKKO
5355715;NIKON
5355716;NILFISK
5355717;NINTENDO
5355718;NN COFRA
5355719;NO NAME
5355720;NOBO
5355721;NOBRAND
5355722;NODOR
5355723;NOEL
5355724;NOKIA
5355725;NONAME
5355726;NOR
5355727;NORD
5355728;NOTA
5355729;NOVA
5355730;NOVATEC
5355731;NOVIGO
5355732;NOVIS
5355733;NRG
5355734;NT COMPUTER
5355735;NT-COMPUTER
5355736;NTV
5355737;NTV PLUS
5355738;NUTRIC
5355739;NVIDIA
5355740;ODEON
5355741;OEHLBACH
5355742;OFA
5355743;OKI
5355744;OKLICK
5355745;OKS
5355746;OLDENA
5355747;OLI
5355748;OLIMPIA
5355749;OLSA
5355750;OLTRAMAX
5355751;OLYMPIA
5355752;OLYMPUS
5355753;OMB
5355754;OMNIMOUNT
5355755;ON
5355756;ONE TOUCH
5355757;ONEFORALL
5355758;ONEXT
5355759;ONKYO
5355760;ONLIME
5355761;ONYX
5355762;OPENBOX
5355763;OPTICLEAN
5355764;OPTIMA
5355765;OPTIQUEST
5355766;OREGON SCIENTIFIC
5355767;ORF
5355768;ORIENTAL
5355769;ORIOLE
5355770;ORION
5355771;ORO
5355772;ORO-FIX
5355773;ORSIO
5355774;ORT
5355775;OSRAM
5355776;OTTOSHTEKKER
5355777;OVERPLAY
5355778;OXIGEN SOFTWARE
5355779;OXO
5355780;OXY
5355781;OYAMA
5355782;OYSTERS
5355783;OZAKI
5355784;PACKARD BELL
5355785;PACLAN
5355786;PALIKHA
5355787;PALM
5355788;PALM EUROPE LIMITE
5355789;PAMA
5355790;PANASONIC
5355791;PANDA SOFTWARE
5355792;PANTECH
5355793;PANTERA
5355794;PARADE
5355795;PARADIZ
5355796;PARAGON SOFTWARE
5355797;PARTNER
5355798;PASSAT
5355799;PATA
5355800;PATACO
5355801;PATRIOT MEMORY
5355802;PELICAN
5355803;PELSAN
5355804;PENTAX
5355805;PERESVET
5355806;PERSIL
5355807;PETEK
5355808;PFAFF
5355809;PHANTOM
5355810;PHASE
5355811;PHIL
5355812;PHILIPS
5355813;PHILIPS AVENT
5355814;PHILIPS-AVENT
5355815;PHOENIX GOLD
5355816;PHOTOGRAFICA
5355817;PILOT
5355818;PINNACLE
5355819;PIONEER
5355820;PIONER
5355821;PITER
5355822;PJ
5355823;PLANTRONICS
5355824;PLAST TEAM
5355825;PLASTON
5355826;PLATRONICS
5355827;PLAYLOGIC
5355828;PLEOMAX
5355829;PNT
5355830;PNZ
5355831;POCKET BOOK
5355832;POCKETBOOK
5355833;POCKETNAVIGATOR
5355834;POERPILOT
5355835;POINT
5355836;POLAR
5355837;POLARIS
5355838;POLAROID
5355839;POLK AUDIO
5355840;POLTI
5355841;PONY
5355842;PORT
5355843;PORT-BAG
5355844;PORTCASE
5355845;PORTO
5355846;POSTFORMING
5355847;POWER ACOUSTIK
5355848;POWERCOM
5355849;POWERCUBE
5355850;POWERMAN
5355851;POWERPILOT
5355852;POZIS
5355853;PQI
5355854;PRAKTICA
5355855;PREMIAL MOBIL
5355856;PREMIER
5355857;PREMIERA
5355858;PRESTIGIO
5355859;PRETEC
5355860;PRIL
5355861;PRIMA
5355862;PRIMAX
5355863;PRINT-RITE
5355864;PRO CINEMA
5355865;PRODIGY
5355866;PROEL
5355867;PROFI SET
5355868;PROFIGOLD
5355869;PROLIFE
5355870;PROLOGY
5355871;PROMT
5355872;PROPORTA
5355873;PROPUSK
5355874;PROTECTER
5355875;PROVENCE
5355876;PROVIEW
5355877;PRYM
5355878;PSB
5355879;PYLIC
5355880;PYRAMAT
5355881;PYRAMIDA
5355882;PYREX
5355883;PYROFLAM
5355884;Q-TRADE
5355885;QED
5355886;QTEK
5355887;QUADRAL
5355888;QUADRASPIRE
5355889;QUICK-PAK
5355890;QUICKSHOT
5355891;QUMO
5355892;R&R
5355893;R-BLAKE
5355894;RADFREE
5355895;RADIOTEHNIKA
5355896;RADUGA TV
5355897;RAINFORD
5355898;RAPSODY
5355899;RAPTOR
5355900;RAT
5355901;RAYEN
5355902;RAZER
5355903;RCA
5355904;RCF
5355905;REAL CABLE
5355906;REBIR
5355907;RED LINE
5355908;REDMOND
5355909;REFLECT
5355910;REGA
5355911;REGAL
5355912;REGENT
5355913;REITER
5355914;REKAM
5355915;REL
5355916;REMINGTON
5355917;REMO
5355918;RENESSANCE
5355919;RENOVA
5355920;RESONANS
5355921;RETONA
5355922;RETRO
5355923;REVOX
5355924;RICOH
5355925;RITMIX
5355926;RITTER
5355927;RIVA
5355928;RIWALL
5355929;RMG
5355930;ROBOTICS
5355931;ROCKBAG
5355932;ROCKFIRE
5355933;ROL
5355934;ROLAND
5355935;ROLSEN
5355936;ROND
5355937;RONDELL
5355938;ROOMBA
5355939;RORETS
5355940;ROSE
5355941;ROSILY
5355942;ROSNET
5355943;ROTEL
5355944;ROTEX
5355945;ROTHO
5355946;ROVER
5355947;ROVER BOOK
5355948;ROVERMATE
5355949;ROVERPC
5355950;ROVERSCAN
5355951;ROVERSHOT
5355952;ROWENTA
5355953;ROXTON
5355954;RP
5355955;RST
5355956;RUBIN
5355957;RUSCICO
5355958;RUSSKOYE SCHASTJE
5355959;RUSSOBIT-M
5355960;RUSSOUND
5355961;RYOBI
5355962;S.B.A. PRODUCTION
5355963;SA
5355964;SAECO
5355965;SAFA
5355966;SAGA
5355967;SAGEM
5355968;SAITEK
5355969;SAMSONITE
5355970;SAMSUNG
5355971;SAN SHIN
5355972;SANDISK
5355973;SANITAS
5355974;SANO
5355975;SANTEX
5355976;SANUS
5355977;SANYO
5355978;SANYOO
5355979;SATURN
5355980;SBM
5355981;SCAB
5355982;SCANPART
5355983;SCARLETT
5355984;SCEE
5355985;SCHER-KHAN
5355986;SCHMIDT&MESSER
5355987;SCHNEIDER
5355988;SCHROERS
5355989;SCSI
5355990;SCYTHE
5355991;SEAGATE
5355992;SEG
5355993;SEGA
5355994;SEIKO
5355995;SENNET
5355996;SENNHEISER
5355997;SENTRY
5355998;SEQUENCE
5355999;SEVEN
5356000;SEVERIN
5356001;SHARKOON
5356002;SHARP
5356003;SHERIFF
5356004;SHERWOOD
5356005;SHINCO
5356006;SHINDO
5356007;SHIVAKI
5356008;SHO-ME
5356009;SHOCK ABSORBERS
5356010;SHRED-ET
5356011;SHRINK
5356012;SHTURMANN
5356013;SHURE
5356014;SHUTTLE
5356015;SIEMENS
5356016;SIESTA
5356017;SIGMA
5356018;SIGMA-PROFI
5356019;SILAMPOS
5356020;SILICON POWER
5356021;SILIKOMART
5356022;SILIKON POWER
5356023;SILK WAY
5356024;SILTAL
5356025;SILVER
5356026;SILVERLINE
5356027;SIM2
5356028;SIMAX
5356029;SIMFER
5356030;SIMPLE TECH
5356031;SINBO
5356032;SINEUS
